2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(78,17)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(77,17)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(77,18)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(77,19)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(78,19)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,19)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,20)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,21)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(80,21)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(81,21)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(82,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(83,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(83, 21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(82,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(82, 21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(81,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(81, 21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(80,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(80, 21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,22)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(80,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(81,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(82,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(83,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(84,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,22)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(86,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,21)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,22)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(88,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,23)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,24)
2025-11-23 14:28:14,811 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,25)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(90,25)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,25)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,24)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,23)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,22)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,21)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(92,21)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(93,21)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(94,21)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,21)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(96,21)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,21)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,22)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,23)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(98,23)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,23)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,24)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,25)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,26)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,27)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,28)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,29)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(98,29)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,29)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,30)
2025-11-23 14:28:14,812 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,31)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(98,31)
